תאריך עברי,תאריך לועזי,פרשת השבוע/חג,כניסת שבת/חג,יציאת שבת/חג
"א' בתשרי ה'תשפ""ג",25-26/9/2022,ראש השנה,17:56,19:09
"ב' בתשרי ה'תשפ""ג",26-27/9/2022,ראש השנה,17:55,19:08
"ו' בתשרי ה'תשפ""ג",30/9-1/10/2022,וילך,17:50,19:02
"י' בתשרי ה'תשפ""ג",4-5/10/2022,יום כיפור,17:45,18:57
"י""ג בתשרי ה'תשפ""ג",7-8/10/2022,האזינו,17:41,18:54
"ט""ו בתשרי ה'תשפ""ג",9-10/10/2022,סוכות,17:38,18:51
"כ' בתשרי ה'תשפ""ג",14-15/10/2022,שבת חול המועד,17:32,18:45
"כ""ב בתשרי ה'תשפ""ג",16-17/10/2022,שמחת תורה,17:30,18:43
"כ""ז בתשרי ה'תשפ""ג",21-22/10/2022,בראשית,17:24,18:38
"ד' בחשוון ה'תשפ""ג",28-29/10/2022,נח,17:17,18:31
"י""א בחשוון ה'תשפ""ג",4-5/11/2022,לך לך,16:11,17:25
"י""ח בחשוון ה'תשפ""ג",11-12/11/2022,וירא,16:06,17:21
"כ""ה בחשוון ה'תשפ""ג",18-19/11/2022,חיי שרה,16:02,17:17
"ב' בכסלו ה'תשפ""ג",25-26/11/2022,תולדות,16:00,17:15
"ט' בכסלו ה'תשפ""ג",2-3/12/2022,ויצא,15:59,17:15
"ט""ז בכסלו ה'תשפ""ג",9-10/12/2022,וישלח,15:59,17:16
"כ""ג בכסלו ה'תשפ""ג",16-17/12/2022,וישב,16:01,17:18
"ל' בכסלו ה'תשפ""ג",23-24/12/2022,מקץ,16:04,17:21
"ז' בטבת ה'תשפ""ג",30-31/12/2022,ויגש,16:08,17:25
"י""ד בטבת ה'תשפ""ג",6-7/1/2023,ויחי,16:14,17:30
"כ""א בטבת ה'תשפ""ג",13-14/1/2023,שמות,16:20,17:35
"כ""ח בטבת ה'תשפ""ג",20-21/1/2023,וארא,16:26,17:41
"ו' בשבט ה'תשפ""ג",27-28/1/2023,בא,16:32,17:47
"י""ג בשבט ה'תשפ""ג",3-4/2/2023,בשלח,16:39,17:53
"כ' בשבט ה'תשפ""ג",10-11/2/2023,יתרו,16:45,17:59
"כ""ז בשבט ה'תשפ""ג",17-18/2/2023,משפטים,16:51,18:04
"ד' באדר ה'תשפ""ג",24-25/2/2023,תרומה,16:57,18:10
"י""א באדר ה'תשפ""ג",3-4/3/2023,תצוה,17:02,18:15
"י""ח באדר ה'תשפ""ג",10-11/3/2023,כי תשא,17:08,18:20
"כ""ה באדר ה'תשפ""ג",17-18/3/2023,ויקהל פקודי,17:13,18:25
"ג' בניסן ה'תשפ""ג",24-25/3/2023,ויקרא,18:17,19:30
"י' בניסן ה'תשפ""ג",31/3-1/4/2023,צו,18:22,19:35
"ט""ו בניסן ה'תשפ""ג",5-6/4/2023,פסח,18:25,19:38
"י""ז בניסן ה'תשפ""ג",7-8/4/2023,שבת חול המועד,18:27,19:40
"כ""א בניסן ה'תשפ""ג",11-12/4/2023,שביעי של פסח,18:29,19:43
"כ""ד בניסן ה'תשפ""ג",14-15/4/2023,שמיני,18:31,19:45
"א' באייר ה'תשפ""ג",21-22/4/2023,תזריע מצורע,18:36,19:50
"ח' באייר ה'תשפ""ג",28-29/4/2023,אחרי מות קדושים,18:41,19:56
"ט""ו באייר ה'תשפ""ג",5-6/5/2023,אמור,18:46,20:01
"כ""ב באייר ה'תשפ""ג",12-13/5/2023,בהר בחוקותי,18:51,20:07
"כ""ט באייר ה'תשפ""ג",19-20/5/2023,במדבר,18:56,20:12
"ו' בסיוון ה'תשפ""ג",25-26/5/2023,שבועות,18:59,20:17
"ז' בסיוון ה'תשפ""ג",26-27/5/2023,נשא,19:00,20:17
"י""ד בסיוון ה'תשפ""ג",2-3/6/2023,בהעלותך,19:04,20:22
"כ""א בסיוון ה'תשפ""ג",9-10/6/2023,שלח,19:07,20:26
"כ""ח בסיוון ה'תשפ""ג",16-17/6/2023,קרח,19:10,20:29
"ה' בתמוז ה'תשפ""ג",23-24/6/2023,חקת,19:12,20:31
"י""ב בתמוז ה'תשפ""ג",30/6-1/7/2023,בלק,19:12,20:31
"י""ט בתמוז ה'תשפ""ג",7-8/7/2023,פנחס,19:12,20:30
"כ""ו בתמוז ה'תשפ""ג",14-15/7/2023,מטות ומסעי,19:10,20:28
"ד' באב ה'תשפ""ג",21-22/7/2023,דברים,19:07,20:24
"י""א באב ה'תשפ""ג",28-29/7/2023,ואתחנן,19:03,20:19
"י""ח באב ה'תשפ""ג",4-5/8/2023,עקב,18:58,20:13
"כ""ה באב ה'תשפ""ג",11-12/8/2023,ראה,18:51,20:06
"ב' באלול ה'תשפ""ג",18-19/8/2023,שופטים,18:44,19:59
"ט' באלול ה'תשפ""ג",25-26/8/2023,כי תצא,18:36,19:50
"ט""ז באלול ה'תשפ""ג",1-2/9/2023,כי תבוא,18:28,19:41
"כ""ג באלול ה'תשפ""ג",8-9/9/2023,ניצבים וילך,18:19,19:32